사건번호,물건소재지,감정가,최저가,유찰횟수
의정부지방법원 2023타경5529,경기도 의정부시 낙양동 763 [집합건물 철근콘크리트구조 84.9557㎡],"462,000,000원","323,400,000원",1
의정부지방법원 2023타경86610,"경기도 포천시 소흘읍 730-1 [집합건물 철근콘크리트조
 122.160㎡]","360,000,000원","176,400,000원",2
의정부지방법원 2024타경85553,"경기도 동두천시 송내동 664-4 [집합건물 철근콘크리트구조 
123.762㎡]","364,000,000원","364,000,000원",1
의정부지방법원 2024타경89159,"경기도 의정부시 호원동 457 [집합건물 철근콘크리트조
59.96㎡]","319,000,000원","319,000,000원",1
의정부지방법원 2024타경89784,"경기도 연천군 전곡읍 381-7 [집합건물 구조 철근콘크리트조
면적 59.81㎡]","53,200,000원","26,068,000원",3
의정부지방법원 2025타경1972,"경기도 동두천시 송내동 664-4 [집합건물 철근콘크리트구조
84.7643㎡]","243,000,000원","243,000,000원",1
의정부지방법원 2025타경2920,"경기도 의정부시 호원동 375-1 [집합건물 철근콘크리트조
59.90㎡]","121,000,000원","84,700,000원",2
의정부지방법원 2025타경4278,경기도 의정부시 고산동 945 [집합건물 철근콘크리트구조 84.9849㎡],"560,000,000원","560,000,000원",1
의정부지방법원 2025타경4742,"경기도 동두천시 생연동 163 [집합건물 철근콘크리트 벽식조
58.14㎡]","82,000,000원","57,400,000원",1
의정부지방법원 2025타경6298,"경기도 의정부시 금오동 286-4 [집합건물 철근콩크리트조
68.26㎡]","178,000,000원","178,000,000원",1
의정부지방법원 2025타경70893,경기도 의정부시 의정부동 187-15 [집합건물 철근콘크리트구조 23.31㎡],"95,000,000원","3,834,000원",10
의정부지방법원 2025타경71706,"강원특별자치도 철원군 동송읍 838-8 [집합건물 철근콘크리트조
84.73㎡]","78,000,000원","18,728,000원",5
의정부지방법원 2025타경71706,강원특별자치도 철원군 동송읍 838-8 [토지 대 3665㎡ 갑구 15번 10995분의 199.2 김영갑 지분 전부],"78,000,000원","18,728,000원",5
의정부지방법원 2025타경71777,경기도 의정부시 고산동 945 [집합건물 철근콘크리트구조 84.9632㎡],"558,000,000원","558,000,000원",1
의정부지방법원 2025타경71801,"경기도 포천시 소흘읍 392-12 [집합건물 철근콘크리트벽식조
84.972㎡]","190,000,000원","15,647,000원",8
의정부지방법원 2025타경71963,경기도 의정부시 용현동 547-3 [집합건물 철근콘크리트벽식구조 59.42㎡],"240,000,000원","40,337,000원",6
의정부지방법원 2025타경72201,경기도 의정부시 의정부동 214-76 [집합건물 철근콘크리트구조  31.721㎡],"228,000,000원","18,777,000원",8
의정부지방법원 2025타경72292,경기도 의정부시 신곡동 755-1 [집합건물 철근콘크리트조 59.06㎡],"277,000,000원","46,556,000원",6
